time,force
1.04086,22.847
1.04088,22.2608
1.04091,21.6851
1.04093,21.1196
1.04095,20.5645
1.04098,20.0197
1.041,19.485
1.04102,18.9606
1.04104,18.4463
1.04107,17.942
1.04109,17.4478
1.04111,16.9635
1.04113,16.4892
1.04116,16.0246
1.04118,15.5698
1.0412,15.1246
1.04122,14.689
1.04125,14.263
1.04127,13.8463
1.04129,13.439
1.04132,13.0409
1.04134,12.6519
1.04136,12.272
1.04138,11.901
1.04141,11.5389
1.04143,11.1854
1.04145,10.8406
1.04147,10.5043
1.0415,10.1764
1.04152,9.85675
1.04154,9.54526
1.04156,9.24181
1.04159,8.94627
1.04161,8.65854
1.04163,8.37847
1.04166,8.10595
1.04168,7.84085
1.0417,7.58304
1.04172,7.3324
1.04175,7.0888
1.04177,6.8521
1.04179,6.62218
1.04181,6.3989
1.04184,6.18215
1.04186,5.97177
1.04188,5.76766
1.0419,5.56966
1.04193,5.37766
1.04195,5.19151
1.04197,5.0111
1.042,4.83629
1.04202,4.66695
1.04204,4.50296
1.04206,4.34418
1.04209,4.19049
1.04211,4.04176
1.04213,3.89787
1.04215,3.75869
1.04218,3.6241
1.0422,3.49399
1.04222,3.36822
1.04224,3.24669
1.04227,3.12927
1.04229,3.01585
1.04231,2.90631
1.04234,2.80055
1.04236,2.69845
1.04238,2.59991
1.0424,2.50481
1.04243,2.41305
1.04245,2.32454
1.04247,2.23916
1.04249,2.15682
1.04252,2.07742
1.04254,2.00088
1.04256,1.92709
1.04259,1.85596
1.04261,1.78741
1.04263,1.72135
1.04265,1.65769
1.04268,1.59636
1.0427,1.53727
1.04272,1.48035
1.04274,1.42552
1.04277,1.3727
1.04279,1.32183
1.04281,1.27284
1.04283,1.22565
1.04286,1.18021
1.04288,1.13645
1.0429,1.09431
1.04293,1.05373
1.04295,1.01465
1.04297,0.977023
1.04299,0.940788
1.04302,0.905897
1.04304,0.8723
1.04306,0.839948
1.04308,0.808797
1.04311,0.7788
1.04313,0.749916
1.04315,0.722104
