schema_version,source_dataset,velocity,analysis_window,window_start_s,window_end_s,partial_index,pitch_lo_midi,pitch_hi_midi,f0_lo_hz,f0_hi_hz,db_c0,db_c1,db_c2,db_c3,energy_rel_fund_db_lo,energy_rel_fund_db_hi,energy_ratio_to_fund_lo,energy_ratio_to_fund_hi,amplitude_ratio_to_fund_lo,amplitude_ratio_to_fund_hi,source_observation_count,max_support_distance_semitones,anchor_status,smoothing_lambda,partial_cv_rmse_db,slice_cv_weighted_rmse_db,interpolation_status
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,56,57,207.652348789973,220,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,57,58,220,233.081880759045,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,58,59,233.081880759045,246.941650628062,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,59,60,246.941650628062,261.625565300599,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,60,61,261.625565300599,277.182630976872,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,61,62,277.182630976872,293.664767917408,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,62,63,293.664767917408,311.126983722081,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,63,64,311.126983722081,329.62755691287,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,64,65,329.62755691287,349.228231433004,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,65,66,349.228231433004,369.994422711634,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,66,67,369.994422711634,391.995435981749,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,67,68,391.995435981749,415.304697579945,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,68,69,415.304697579945,440,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,69,70,440,466.16376151809,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,70,71,466.16376151809,493.883301256124,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,71,72,493.883301256124,523.251130601197,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,72,73,523.251130601197,554.365261953744,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,73,74,554.365261953744,587.329535834815,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,74,75,587.329535834815,622.253967444162,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,75,76,622.253967444162,659.25511382574,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,1,76,77,659.25511382574,698.456462866008,0,0,0,0,0,0,1,1,1,1,88,0,both_measured,300,0,8.62062944808652,within_observed_pitch_range
